Key,english

Stoned01,Stoned
Stoned01Desc,"The weight of the world has been lifted off of your shoulders for a moment"
Stoned01Tip,"You feel very relaxed but a bit too relaxed"
Stoned02Desc,"Inspiration is flowing through you"
Stoned02Tip,"You feel a bit relaxed but very focused"

Hungover,Hungover
HungoverDesc,"Your drinking binge has led to horrible consequences"
HungoverTip,"You are now hungover"

Paranoid,Paranoid
ParanoidDesc,"Your seeing and hearing things that aren't really there"
ParanoidTip,"You are now paranoid from your stress"

BoozeStaminaBonus,Max Stamina Boost
BoozeStaminaBonusDesc,"For a limited time you have a boost of adrenaline"

buffStoutDesc,"You're pretty sure this stout beer just put hairs on your chest"
buffStoutTip,"What a manly beer this is"

buffPilsnerDesc,"This standard pilsner beer has energized you for the moment"
buffPilsnerTip,"This isn't the best beer but it isn't the worst either"

buffPorterDesc,"This porter is very soothing and you feel warm"
buffPorterTip,"Porters hit quite right in the dead of winter"

buffPaleAle,Pale Ale
buffPaleAleDesc,"This pale ale gives you the strength to fight"
buffPaleAleTip,"This pale ale has a nice robust flavor"

buffLagerDesc,"This charismatic drink is a household staple"
buffLagerTip,"Your charisma shines after slamming this lager"

buffIPADesc,"This IPA refreshes you in this heat"
buffIPATip,"IPAs are so refreshing on the taste buds"

buffPumpkinAle,Pumpkin Ale
buffPumpkinAleDesc,"Your immune system feels quite the boost"
buffPumpkinAleTip,"This is one well crafted pumpkin ale"

buffWheatAle,Wheat Ale
buffWheatAleDesc,"What a great aroma and taste of this fine beer"
buffWheatAleTip,"You get the best of both worlds with this beer"

buffWhiskeyDesc,"Relieved but at what cost"
buffWhiskeyTip,"I hope this was worth it"

buffVodkaDesc,"Relieved but at what cost"
buffVodkaTip,"I hope this was worth it"

buffRumDesc,"Relieved but at what cost"
buffRumTip,"I hope this was worth it"

buffTequilaDesc,"Relieved but at what cost"
buffTequilaTip,"I hope this was worth it"

buffGinDesc,"Relieved but at what cost"
buffGinTip,"I hope this was worth it"

buffSakeDesc,"Relieved but at what cost"
buffSakeTip,"I hope this was worth it"

buffBrandyDesc,"Relieved but at what cost"
buffBrandyTip,"I hope this was worth it"

buffCocktailDesc,"Nothing eases stress like a delicious cocktail"
buffCocktailTip,"You drink a well crafted cocktail"

buffGinJuice,"Gin & Juice"
buffNewVegas,"New Vegas Bomb"
buffDayWalker,"Day Walker"
buffZombie,"Zombie"
buffDoubleTap,"Double Tap"
buffLongIsland,"Long Island"

perkBrewmasterDesc,"Brew high quality beverages to aid in stress relief with this skill.\nEach level will increase your odds of looting Medical and Food crafting magazines as well as ingredients to help you craft advanced brews."

perkBrewmaster1Desc,"Grain Farmer"
perkBrewmaster2Desc,"Microbrewing"
perkBrewmaster3Desc,"Distiller"
perkBrewmaster4Desc,"Mixologist"

perkBrewmaster1LongDesc,"You may now craft the seeds for brewing ingredients"
perkBrewmaster2LongDesc,"You have now delved into the science of brewing craft beers and can also now craft Brewing Stations"
perkBrewmaster3LongDesc,"You may now craft Distillers to distill your own liquors to really take the edge off"
perkBrewmaster4LongDesc,"You have become a master mixologist and can whip up some creative cocktails"

brewingStation,"Craft Brewing Station"
brewingStationDesc,"The Brewing Station is used to craft stress relieving drinks. Have a drink, take a load off."

Distiller,"Spirits Distiller"
DistillerDesc,"The Distiller workstation is used for brewing spirits to raise your spirits and reduce your stress."

bookANiceRelaxingBook,"A Nice Relaxing Book"
bookANiceRelaxingBookDesc,"A Nice Relaxing Book that can be read to relieve stress."

foodRawGameMeat,Raw Game Meat
foodRawGameMeatDesc,"Raw Game Meat can be eaten raw but is better charred, grilled, boiled or made into stews at a campfire."
foodRawRabbitMeat,Raw Rabbit Meat
foodRawRabbitMeatDesc,"Raw Rabbit Meat can be eaten raw but is better charred, grilled, boiled or made into stews at a campfire."
foodRawChicken,Raw Chicken
foodRawChickenDesc,"Raw Chicken Meat can be eaten raw but is better charred, grilled, boiled or made into stews at a campfire."
foodRawPork,Raw Pork
foodRawPorkDesc,"Raw Pork Meat can be eaten raw but is better charred, grilled, boiled or made into stews at a campfire."
foodRawFish,Raw Fish
foodRawFishDesc,"Raw Fish Meat can be eaten raw but is better charred, grilled, boiled or made into stews at a campfire."

foodCropRice,Rice
foodCropRiceDesc,"A staple grain that can be used in various dishes, providing a basic but essential food source."
foodCropYeast,Yeast
foodCropYeastDesc,"The magical ingredient that transforms dough into bread and grain into beer."
foodCropFlour,Flour
foodCropFlourDesc,"Finely milled grain, ready to be turned into bread, pastries, and more."

foodCropAgave,Agave
foodCropAgaveDesc,"A versatile plant, key to producing both sweet syrup and strong spirits."
plantedAgaveSprout,Agave Sprout
plantedAgaveSproutDesc,"A young agave sprout, slowly growing under the sun's watchful eye."
plantedAgaveGrowing,Agave Growing
plantedAgavePlant,Agave Plant
plantedAgaveGrowingDesc,"The agave plant is gaining strength, its sharp leaves stretching outwards."
plantedAgavePlantDesc,"A fully grown agave plant, ready for harvest."

foodCropCocoa,Cocoa
foodCropCocoaDesc,"The seeds of the cacao tree, ready to be processed into delicious chocolate."
plantedCocoaSprout,Cocoa Sprout
plantedCocoaSproutDesc,"A tender cocoa sprout, just beginning its journey towards becoming a mighty tree."
plantedCocoaGrowing,Cocoa Growing
plantedCocoaPlant,Cocoa Plant
plantedCocoaGrowingDesc,"This cocoa plant is steadily growing, with its future harvests promising rich chocolate."
plantedCocoaPlantDesc,"A mature cocoa plant, laden with pods ready for picking."

foodCropBarley,Barley
foodCropBarleyDesc,"A hardy grain used in brewing and baking, adding strength and flavor."
plantedBarleySprout,Barley Sprout
plantedBarleySproutDesc,"A sprouting barley plant, beginning its cycle towards becoming a vital crop."
plantedBarleyGrowing,Barley Growing
plantedBarleyPlant,Barley Plant
plantedBarleyGrowingDesc,"This barley plant is thriving, its stalks swaying in the breeze."
plantedBarleyPlantDesc,"A fully grown barley plant, ready for harvest and brewing."

foodCropWheat,Wheat
foodCropWheatDesc,"A common grain, fundamental to bread and numerous other staple foods."
plantedWheatSprout,Wheat Sprout
plantedWheatSproutDesc,"A small sprout of wheat, reaching for the sky."
plantedWheatGrowing,Wheat Growing
plantedWheatPlant,Wheat Plant
plantedWheatGrowingDesc,"This wheat plant is maturing, its golden stalks a promise of a bountiful harvest."
plantedWheatPlantDesc,"A ripe wheat plant, heavy with grains ready for gathering."

foodCropTobacco,Tobacco
foodCropTobaccoDesc,"Cultivated for its leaves, which are dried and used in cigars and cigarettes for stress relief."
plantedTobaccoSprout,Tobacco Sprout
plantedTobaccoSproutDesc,"A delicate tobacco sprout, beginning its life cycle."
plantedTobaccoGrowing,Tobacco Growing
plantedTobaccoPlant,Tobacco Plant
drugCigarette,drugCigarette
drugCigaretteDesc,"A rolled stick of tobacco, providing a quick but temporary stress relief."
drugCigar,Cigar
drugCigarDesc,"A thick, hand-rolled tobacco product, offering a more substantial and flavorful experience."
plantedTobaccoGrowingDesc,"This tobacco plant is growing stronger, its leaves expanding and thickening."
plantedTobaccoPlantDesc,"A fully developed tobacco plant, its leaves ready to be harvested."

foodCropSativaBud,Sativa Bud
foodCropSativaBudDesc,"A bud known for its energizing and uplifting effects, popular among those seeking creativity."
plantedSativaSprout,Sativa Sprout
plantedSativaSproutDesc,"A sativa sprout, just beginning its journey to becoming a potent plant."
plantedSativaGrowing,Sativa Growing
plantedSativaPlant,Sativa Plant
drugSativaJoint,Sativa Joint
drugSativaJointDesc,"A joint rolled with sativa buds, perfect for a creative spark or social gathering."
plantedSativaGrowingDesc,"This sativa plant is growing taller, with buds forming and maturing."
plantedSativaPlantDesc,"A full-grown sativa plant, its buds ready for harvest."

foodCropIndicaBud,Indica Bud
foodCropIndicaBudDesc,"A bud known for its calming and relaxing properties, often used for stress relief."
plantedIndicaSprout,Indica Sprout
plantedIndicaSproutDesc,"An indica sprout, small but promising a soothing future."
plantedIndicaGrowing,Indica Growing
plantedIndicaPlant,Indica Plant
drugIndicaJoint,Indica Joint
drugIndicaJointDesc,"A joint rolled with indica buds, ideal for unwinding after a long day."
plantedIndicaGrowingDesc,"This indica plant is maturing, its dense buds slowly forming."
plantedIndicaPlantDesc,"A mature indica plant, its buds ready to deliver deep relaxation."

foodCropSugarCane,Sugar Cane
foodCropSugarCaneDesc,"Tall, sweet stalks that can be processed into sugar or rum."
plantedSugarCaneSprout,Sugar Cane Sprout
plantedSugarCaneSproutDesc,"A tender sugar cane sprout, reaching upwards towards the sun."
plantedSugarCaneGrowing,Sugar Cane Growing
